sample	drug_raw	drug	dose	exp	run	replicate	condition	is_control	is_timezero
Sorafe3_005u_exp151121_run071221_35	Sorafe3	Sorafe	005u	exp151121	run071221	3	Sorafe_005u	False	False
Sorafe4_005u_exp151121_run071221_36	Sorafe4	Sorafe	005u	exp151121	run071221	4	Sorafe_005u	False	False
Mitomy1_002x_exp151121_run071221_37	Mitomy1	Mitomy	002x	exp151121	run071221	1	Mitomy_002x	False	False
Mitomy2_002x_exp151121_run071221_38	Mitomy2	Mitomy	002x	exp151121	run071221	2	Mitomy_002x	False	False
Mitomy3_002x_exp151121_run071221_39	Mitomy3	Mitomy	002x	exp151121	run071221	3	Mitomy_002x	False	False
Mitomy4_002x_exp151121_run071221_40	Mitomy4	Mitomy	002x	exp151121	run071221	4	Mitomy_002x	False	False
STO6091_030u_exp151121_run071221_41	STO6091	STO609	030u	exp151121	run071221	1	STO609_030u	False	False
STO6092_030u_exp151121_run071221_42	STO6092	STO609	030u	exp151121	run071221	2	STO609_030u	False	False
STO6093_030u_exp151121_run071221_43	STO6093	STO609	030u	exp151121	run071221	3	STO609_030u	False	False
STO6094_030u_exp151121_run071221_44	STO6094	STO609	030u	exp151121	run071221	4	STO609_030u	False	False
Capiva1_050u_exp151121_run071221_45	Capiva1	Capiva	050u	exp151121	run071221	1	Capiva_050u	False	False
Capiva2_050u_exp151121_run071221_46	Capiva2	Capiva	050u	exp151121	run071221	2	Capiva_050u	False	False
Capiva3_050u_exp151121_run071221_47	Capiva3	Capiva	050u	exp151121	run071221	3	Capiva_050u	False	False
Capiva4_050u_exp151121_run071221_48	Capiva4	Capiva	050u	exp151121	run071221	4	Capiva_050u	False	False
Temps01_000u_exp151121_run180122_01	Temps01	Temps0	000u	exp151121	run180122	1	time0	False	True
Temps02_000u_exp151121_run180122_02	Temps02	Temps0	000u	exp151121	run180122	2	time0	False	True
Phenfo1_050u_exp151121_run180122_03	Phenfo1	Phenfo	050u	exp151121	run180122	1	Phenfo_050u	False	False
Phenfo2_050u_exp151121_run180122_04	Phenfo2	Phenfo	050u	exp151121	run180122	2	Phenfo_050u	False	False
Phenfo3_050u_exp151121_run180122_05	Phenfo3	Phenfo	050u	exp151121	run180122	3	Phenfo_050u	False	False
