;Aliser_050n;Azacyt_1.5u;AZD148_005u;AZD818_050u;Bafilo_1.2n;BGJ398_007u;BMS536_002u;Bortez_020n;Bortez_020n.1;Caboza_010u;Capiva_050u;Carbop_007u;CCT020_003u;CCT196_001u;CCT196_001u.1;CGP573_010u;Chloro_040u;Cispla_250n;Cispla_500n;Compou_008u;Crizot_002u;Defero_007u;Doxoru_080n;eFT508_025u;Erasti_015u;Ferros_060u;Gefiti_002u;Gefiti_002u.1;Ibudil_400u;IMR1._080u;JSH23_060u;L75550_025u;Lazert_001u;Lenvat_040u;Levofl_250u;LGK974_005u;LIMKi3_030u;LY3009_003u;LY3009_003u.1;Mavele_001u;Mefloq_010u;Methot_040n;MG132z_510n;Mitomy_002x;ML210._030u;NaButy_002m;NAcety_015m;Napabu_001u;Navito_006u;Nigeri_100n;Nutlin_025u;Olapar_020u;Osimer_001u;Osimer_005u;Osimer_020n;Osimer_100n;Osimer_100n.1;Osimer_100n.2;Osimer_100n.3;OsiSor_015u;Oxalip_005u;Paclit_005n;Palboc_010u;Pemetr_080n;Pemetr_100n;Pemetr_100n.1;Phenfo_050u;phenyl_002m;Plurip_010u;Pralat_003n;Proben_500u;PROTAC_010u;RAF265_005u;Regora_010u;Rocile_001u;S63845_010u;Saraca_500n;SBI020_005u;SHP099_050u;Sorafe_005u;Sorafe_005u.1;Sotora_035u;Spauti_007u;statti_007u;STO609_030u;Suniti_015u;TAE684_001u;Tazeme_040u;Temps0_000u;Temps0_000u.1;Temps0_000u.2;Temps0_000u.3;Temps0_000u.4;Temps0_000u.5;Temps0_000u.6;Temps0_000u.7;Temps0_000u.8;Temps0_000u.9;Temsir_006u;Thapsi_008n;THZ1_090n;Tramet_030n;Tramet_030n.1;Tramet_040n;Tricho_110n;Trimet_600u;Tunica_0.5x;U0126E_030u;Vemura_007u;Vorino_002u;WZ4002_001u;X13271_005u;X13271_005u.1;X13271_008u;X13271_008u.1;X13271_009u;X15681_050u;X17129_008u;X17129_008u.1;XAV939_080u;Y27632_300u
2136;NA;NA;NA;NA;NA;NA;NA;7.01889325245875;7.01889325245875;1.37571305805022;NA;2.37121163944618;NA;NA;NA;NA;NA;NA;6.94276029822149;NA;1.78117076567497;NA;3.01453557222033;NA;NA;NA;-8.82262981294255;-8.82262981294255;1.30457000421249;NA;NA;4.28333767607193;-8.54389168048428;NA;NA;NA;NA;NA;NA;-8.69310872540076;NA;4.15200538173406;6.11047070680555;2.46062762204987;NA;3.06558206747825;NA;NA;1.7267963268091;NA;NA;2.39554902155155;-7.73705363649169;-8.09084955343116;NA;-9.23232009913887;-9.23232009913887;-9.23232009913887;-9.23232009913887;NA;NA;NA;NA;7.49514238486744;6.21048934882911;6.21048934882911;NA;NA;NA;6.53293110989057;NA;NA;NA;NA;-9.14419471169584;NA;NA;1.18893333530805;NA;NA;NA;NA;NA;NA;NA;-6.56064748072494;3.11532923687645;1.17291915497604;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.86716426716086;NA;NA;NA;NA;3.00997821856302;NA;-1.43213315773451;NA;-3.40953489370182;NA;NA;NA;NA;NA;NA;2.07578589826358;NA;1.83269592616934;1.83269592616934;NA;-1.33631749109483
2139;NA;NA;NA;NA;NA;NA;NA;1.97012318434719;1.97012318434719;1.07208277025084;NA;2.85694066804028;NA;NA;NA;NA;NA;NA;1.30110493142582;NA;1.76725504222515;NA;NA;NA;NA;NA;-1.20507385069083;-1.20507385069083;NA;-1.87970658068482;NA;3.9030190718317;-3.19609367691363;NA;NA;NA;NA;3.1941660793037;3.1941660793037;-3.40545297275903;NA;2.43683519996822;3.3892064026281;1.46059174787673;NA;1.96895065563229;NA;NA;NA;NA;-6.07252194463926;1.16962010732752;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5.16847939410649;5.39832861233465;5.39832861233465;NA;NA;NA;1.51125565311438;NA;NA;NA;NA;NA;2.12616694308135;NA;NA;-6.18164785616929;NA;NA;-5.20444833754453;NA;NA;NA;-4.62458025923344;3.842678700235;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.30901950264924;2.29731360725707;NA;NA;NA;-1.76386753883674;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2145;NA;NA;NA;NA;-5.85438631931713;NA;NA;NA;NA;-4.10118289011524;NA;2.79468345381103;NA;NA;NA;NA;NA;1.85883116106744;6.76403176480048;NA;NA;NA;NA;NA;NA;NA;-7.98352488665473;-7.98352488665473;NA;-6.05579168842949;NA;4.272121139714;-6.93882208842852;NA;NA;NA;NA;NA;NA;-7.09052315199165;NA;5.04761703278326;NA;2.66793378889519;NA;NA;NA;NA;NA;NA;-6.84641589611369;4.65054426136378;-6.37607324267229;-6.74824914735641;-7.8923665486898;-8.39905568903024;-8.39905568903024;-8.39905568903024;-8.39905568903024;-5.89210470530661;NA;1.76009553066621;NA;6.04225696494499;4.68107353043004;4.68107353043004;NA;NA;NA;5.55508895807219;NA;-7.2550399073677;NA;NA;-7.55072418006154;NA;-7.37029009596851;NA;-1.72609869251087;NA;NA;NA;NA;NA;NA;-5.43282097653429;-5.90820655549046;NA;4.53003833636611;4.53003833636611;4.53003833636611;4.53003833636611;4.53003833636611;4.53003833636611;4.53003833636611;4.53003833636611;4.53003833636611;4.53003833636611;NA;1.32159300479255;-2.40653039239362;-2.82681621594607;-2.82681621594607;NA;1.40343326485114;3.28003047188434;-2.6320303995006;NA;-8.54960768696341;NA;-5.53689840061698;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2147;1.05159086716566;NA;NA;NA;NA;NA;NA;5.42399889459806;5.42399889459806;3.11721375447661;NA;NA;NA;NA;NA;1.91078637939677;NA;NA;2.91436174883911;NA;2.85796642473666;NA;1.87170993270708;NA;NA;NA;NA;NA;1.6256164176344;NA;NA;4.02130220117147;NA;3.71305112900166;NA;NA;NA;2.22730663856343;2.22730663856343;NA;NA;3.33483072491475;4.80236708306025;2.61825066117049;-1.38614195942957;1.39423489450686;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.9093211398498;NA;5.56746920897826;3.83289711898112;3.83289711898112;NA;NA;NA;2.0704295296157;NA;4.40876954034222;NA;1.79419775625705;NA;2.56320531781741;NA;3.51751780494741;-2.13275288420598;2.58929513074213;2.58929513074213;3.7470823472922;1.81876376562979;NA;NA;NA;2.77709375237322;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.88279336216011;3.65062530865376;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.27732086745266;NA;NA;NA;NA
2156;1.55447554883736;NA;NA;1.27968388367849;1.83820408093489;1.4098528069492;NA;5.34245221084223;5.34245221084223;1.48627841131607;NA;2.63744679434224;NA;NA;NA;1.02373511098331;2.03888330396823;NA;3.62785443247207;1.45014622637164;2.64479586425335;NA;NA;NA;NA;1.60402277833053;1.39524941217242;1.39524941217242;2.20646258096813;-7.30712855912207;1.49103319861503;NA;2.44827729534774;2.44423177586941;NA;NA;NA;NA;NA;2.43596937302437;NA;3.28321843466179;4.58599639849814;3.70994072733324;NA;NA;NA;NA;NA;1.44187648366879;NA;1.7482399548008;1.5650588549752;3.89547497701655;1.6133706311061;NA;NA;NA;NA;NA;1.25934874617651;NA;1.7291292871296;4.18713107652707;4.24303904964421;4.24303904964421;NA;NA;NA;2.35456655741084;NA;4.1546333923833;NA;NA;1.28126466203992;2.04939285366048;1.42591880415818;3.33910752094363;NA;NA;NA;2.91512602276498;1.48985460421395;NA;NA;-1.26263620421059;2.20845673691273;1.60635912060935;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.68787790996138;-7.78162572628705;NA;NA;1.64587465014768;NA;1.60811314239713;3.15482817621961;NA;3.02472691403959;NA;1.44458338836663;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.34367482478702
2161;1.5818645732785;NA;NA;NA;-7.49210982129281;NA;NA;5.55472059172603;5.55472059172603;NA;NA;1.68598735044206;NA;NA;NA;NA;NA;NA;3.59071868408261;NA;1.49269145463761;NA;2.7386935697312;NA;NA;NA;-9.72190303921544;-9.72190303921544;NA;-6.87411258182939;NA;5.4023851261949;NA;NA;NA;NA;NA;5.03979090859712;5.03979090859712;-7.91775169192913;NA;4.46371975131751;4.68865238258696;2.92048673563432;NA;2.47717153145444;NA;NA;NA;NA;-1.4520561921032;NA;-7.9785595950225;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.85583698411745;6.03373041095067;4.90670953442067;4.90670953442067;NA;NA;NA;4.89790782737601;NA;NA;NA;NA;NA;3.49811232427978;NA;NA;NA;NA;NA;NA;1.44346354132377;NA;NA;-8.04170871203465;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.97815438032015;1.97815438032015;3.03119333299981;3.25869820220063;1.89215344469998;NA;NA;NA;NA;-2.33922379006136;NA;NA;NA;NA;1.57385094758348;NA;2.04304785770749;2.04304785770749;NA;NA
2168;3.01853508981403;NA;NA;NA;NA;NA;NA;5.73419994460779;5.73419994460779;2.17760936759782;NA;2.02252742877948;NA;NA;NA;NA;NA;NA;4.64779557950889;NA;1.83040131196802;NA;3.04921735400452;NA;NA;1.46194331226995;-9.37666117366209;-9.37666117366209;NA;-6.3747295976336;NA;5.05675397058508;-7.26894570953087;NA;NA;NA;NA;2.82237406442397;2.82237406442397;-2.24068074414393;NA;3.23356935134667;4.69895876556179;2.69502204686375;NA;1.95243097291699;NA;NA;NA;NA;-1.85841593467956;NA;-7.50528772930882;-7.86778648537179;-8.98959278953545;-9.78809747213197;-9.78809747213197;-9.78809747213197;-9.78809747213197;-3.02840360336304;NA;2.51634171898865;NA;5.5555651976801;5.93559193448911;5.93559193448911;NA;NA;NA;3.28480037990085;NA;NA;NA;NA;-7.88811867046173;2.8848914686227;-1.03487856503425;2.42446221618753;NA;NA;NA;NA;1.30455295799457;NA;NA;-2.05346742365194;1.93732035991813;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.84738314797023;1.24317163393436;NA;NA;1.95965628536212;2.97966452265984;2.18975216568749;NA;NA;NA;NA;-7.06567939035143;NA;NA;NA;NA;1.30407418337588;NA;NA;NA;NA;NA
2170;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.81211136988955;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.34899374646403;NA;-8.31187446186661;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.38792756322787;NA;NA;NA;NA;NA;NA;NA;NA;-2.67604625376628;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-9.62435607772442;-7.65855202907555;NA;NA;NA;NA;NA;1.41004484498176;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2171;3.65128393807712;NA;NA;NA;-1.0400547396441;NA;NA;NA;NA;-4.84733994398984;NA;NA;NA;-8.35068414744015;-8.35068414744015;NA;NA;NA;-1.90986719710051;NA;NA;-4.75081245295662;-4.7273256344918;NA;NA;NA;-4.49062999737539;-4.49062999737539;NA;4.45260644687055;NA;NA;-1.1458627455659;-4.12528920104209;-5.57552167648507;-8.27153021669464;NA;NA;NA;-1.24205065391795;NA;-1.2155647107428;NA;NA;NA;NA;-4.18630832704171;NA;NA;1.85389990580046;1.90131893532708;-5.46869111205705;NA;NA;-5.87375303318743;-5.067896907453;-5.067896907453;-5.067896907453;-5.067896907453;NA;NA;NA;NA;-1.12727759971082;1.46570179522986;1.46570179522986;NA;2.36338538260269;NA;-1.23014069010102;NA;NA;NA;NA;-1.69289014819493;NA;NA;1.55277468777302;NA;NA;NA;NA;NA;NA;NA;2.38414992156707;-1.07685692175402;NA;-4.12211037830907;-4.12211037830907;-4.12211037830907;-4.12211037830907;-4.12211037830907;-4.12211037830907;-4.12211037830907;-4.12211037830907;-4.12211037830907;-4.12211037830907;NA;NA;NA;-6.33251414614042;-6.33251414614042;NA;-1.24181197031273;NA;-1.94805795714269;NA;-3.23435693497313;NA;NA;NA;NA;NA;NA;NA;1.70235319679943;NA;NA;NA;-6.37808156823767
2184;1.74272823764497;NA;NA;NA;3.9973065483951;1.65244119085996;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.80917570768284;NA;1.60947142447997;NA;NA;NA;NA;NA;NA;1.43457213470211;NA;NA;NA;NA;1.17883953785562;3.82861208602288;1.29974805352175;NA;NA;NA;NA;NA;NA;1.70382052744982;2.21491449198063;1.64863430120347;NA;NA;NA;NA;NA;NA;NA;1.75656073785646;NA;1.71990891335107;NA;1.6704589541627;NA;NA;NA;NA;NA;NA;NA;NA;2.15609457358369;3.56089134843493;2.436461311852;2.436461311852;NA;NA;NA;3.13279820038578;NA;NA;NA;NA;NA;1.94946535517838;1.19035976276869;1.50279959182324;NA;NA;NA;NA;NA;NA;NA;1.53763119594727;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5.78938850261309;NA;NA;NA;NA;NA;2.42928305693634;NA;2.20710989186326;NA;1.31848931022076;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
